Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Androrchis	27.30	7.00	12.10	2.15	4.30	18.00	7.80	2.60	14.40	5.70	10.80	12.20	5.60	8.10	4.10	10.80	7.90	4.20	14.20	6.10	14.10	3.30
Androrchis	31.70	8.00	15.80	2.85	5.80	25.00	11.55	2.62	19.80	5.10	13.40	14.40	5.90	9.10	4.40	11.30	8.40	3.00	12.70	4.40	19.40	3.80
Androrchis	35.70	6.00	14.60	2.85	3.40	11.00	9.20	3.65	13.80	2.80	16.80	12.90	5.50	8.60	5.00	11.20	8.00	5.00	14.00	6.90	16.00	3.30
Androrchis	43.40	6.00	15.70	3.50	4.70	11.00	12.90	5.19	15.50	4.00	17.40	12.80	5.50	7.80	4.20	12.60	8.90	4.90	15.70	7.60	18.00	3.00
Androrchis	32.50	6.00	15.20	2.20	4.30	18.00	10.40	3.61	15.70	3.60	13.90	12.00	5.00	7.50	4.10	8.90	6.30	4.00	12.30	6.20	14.40	2.70
Androrchis	39.70	7.00	20.30	3.10	4.30	13.00	9.40	4.63	13.60	4.40	16.70	12.80	6.40	7.70	5.20	11.20	8.30	4.10	14.80	6.60	18.00	3.00
Androrchis	33.80	7.00	12.80	2.00	3.50	9.00	7.65	3.73	10.80	4.00	14.60	12.10	5.40	9.00	4.30	11.90	8.50	5.00	13.40	6.30	18.90	2.70
Androrchis	28.80	6.00	13.20	2.30	3.50	13.00	7.75	2.69	13.60	4.00	12.70	10.60	5.70	8.50	5.10	11.00	8.80	3.60	13.60	5.60	16.20	3.20
Androrchis	43.10	8.00	20.80	2.30	3.90	16.00	8.80	3.05	18.20	4.20	15.80	12.60	6.00	9.50	4.50	11.00	8.90	4.50	14.10	5.50	17.00	3.70
Androrchis	33.90	7.00	13.80	1.60	2.80	12.00	10.90	3.65	12.50	3.30	13.10	12.90	4.70	8.50	3.70	11.00	8.30	4.00	12.80	5.10	16.20	3.00
Androrchis	43.40	7.00	15.70	2.00	4.50	21.00	12.60	3.44	8.00	2.80	14.70	10.10	5.20	8.00	0.00	10.20	8.30	1.90	12.60	5.20	18.10	2.70
Androrchis	36.70	8.00	14.30	2.40	4.20	19.00	10.40	3.10	10.05	4.40	13.20	10.00	4.20	6.30	3.10	8.80	6.70	3.60	11.10	5.00	16.50	2.60
Androrchis	65.00	7.00	20.30	2.30	3.90	29.00	27.10	6.76	15.30	4.70	17.20	9.30	4.50	6.70	3.10	9.30	6.80	4.10	12.90	5.70	14.70	1.80
Androrchis	35.80	6.00	9.70	2.05	3.00	20.00	17.30	3.79	17.00	4.00	21.10	10.40	4.50	7.40	3.40	10.30	7.10	5.10	13.60	6.40	15.00	1.80
Androrchis	31.20	6.00	12.60	2.85	3.90	19.00	15.90	3.55	16.30	4.00	18.60	10.50	4.80	8.80	3.90	12.30	7.40	6.40	14.50	7.60	16.00	2.10
Androrchis	34.60	5.00	16.20	2.45	3.20	19.00	13.30	4.31	17.90	4.00	20.40	10.60	4.40	8.10	3.90	9.60	7.10	3.80	12.90	6.40	13.40	1.30
Androrchis	35.50	9.00	14.30	3.05	3.40	20.00	15.10	3.93	19.10	4.60	19.90	11.60	5.70	8.00	3.50	9.70	6.60	4.40	13.20	6.90	14.30	2.50
Androrchis	38.80	8.00	15.60	3.90	5.40	50.00	19.90	2.44	22.00	4.40	19.10	10.40	5.40	7.70	4.00	9.60	6.00	4.50	12.00	6.20	12.50	1.60
Androrchis	38.20	7.00	21.70	2.50	4.10	19.00	12.50	1.95	15.50	4.20	20.10	11.20	5.40	7.80	3.80	9.50	6.10	4.20	13.00	7.10	11.80	2.10
Androrchis	28.70	7.00	14.50	2.30	3.00	17.00	7.30	2.04	12.60	3.30	16.60	9.70	5.20	7.50	3.50	9.60	5.70	4.60	0.00	6.50	12.70	1.80
Androrchis	31.30	9.00	16.20	3.05	5.50	39.00	15.00	2.89	19.70	5.20	19.20	11.00	5.70	7.80	3.90	10.10	6.80	4.90	0.00	6.80	13.70	2.50
Androrchis	26.80	6.00	9.50	2.80	2.80	19.00	11.10	2.96	13.40	4.50	17.00	9.10	5.40	6.70	3.50	8.20	4.30	4.50	0.00	6.10	11.80	2.00
Androrchis	33.70	7.00	11.30	2.00	3.20	15.00	12.20	5.52	17.10	4.00	17.50	10.30	4.30	7.40	3.10	9.40	6.70	4.40	11.70	4.80	13.20	1.80
Androrchis	45.50	5.00	11.30	2.50	3.10	20.00	18.90	6.10	16.40	4.60	19.80	11.00	5.50	8.30	4.00	10.50	7.60	4.60	12.70	5.60	17.10	2.40
Androrchis	49.80	7.00	18.60	2.85	4.60	20.00	17.20	4.79	15.40	4.00	19.60	11.20	4.80	8.00	3.70	10.40	7.10	4.90	13.00	6.30	14.40	2.40
Androrchis	60.30	8.00	15.20	3.15	5.10	40.00	33.80	8.34	30.50	5.60	25.60	12.90	5.00	7.90	3.60	10.90	7.80	4.90	13.50	5.40	16.00	2.00
Androrchis	39.80	5.00	13.10	2.40	4.00	17.00	12.90	5.53	16.70	4.00	16.70	10.20	4.50	7.50	3.40	9.40	5.90	5.00	12.70	6.40	13.40	2.00
Androrchis	37.20	5.00	10.40	1.55	2.50	22.00	11.90	3.01	12.70	3.30	14.00	9.20	3.70	6.20	2.60	8.50	5.90	3.90	10.00	4.30	12.30	1.70
Androrchis	58.80	7.00	13.10	3.05	3.70	27.00	23.30	6.40	13.30	4.40	18.90	11.40	5.10	7.80	3.20	10.60	7.30	5.50	13.50	5.50	13.20	2.20
Androrchis	39.60	5.00	11.70	1.90	2.50	15.00	12.40	4.34	11.30	4.00	18.60	11.20	4.40	7.90	3.60	10.70	6.90	4.60	12.40	6.70	14.20	1.80
Androrchis	30.00	4.00	8.90	1.15	2.20	10.00	10.80	4.73	11.80	3.40	15.30	9.40	4.40	6.40	3.60	8.10	5.90	3.30	11.80	5.90	15.40	1.90
Androrchis	41.00	5.00	13.40	1.75	3.20	16.00	12.80	9.61	11.80	3.50	18.10	10.50	4.50	7.20	3.30	9.50	6.20	4.40	11.70	6.20	17.50	1.80
Androrchis	18.40	5.00	6.80	1.70	2.70	6.00	4.95	2.90	9.30	3.10	10.30	8.70	5.10	6.70	3.90	8.50	5.70	4.10	12.40	6.70	15.90	1.90
Androrchis	22.10	5.00	8.35	1.75	2.90	7.00	5.20	3.50	10.90	3.50	13.50	9.40	4.20	7.00	3.80	9.80	7.40	4.20	12.30	5.90	15.70	1.90
Androrchis	16.90	7.00	8.60	2.95	4.10	16.00	6.30	1.80	13.40	4.40	13.20	10.10	5.30	7.10	4.30	10.70	8.30	4.90	15.30	6.60	16.80	3.00
Androrchis	14.60	4.00	7.50	1.70	2.60	7.00	4.65	2.90	10.40	3.50	9.90	8.90	4.00	6.70	3.50	8.70	6.70	4.50	10.50	5.00	15.20	2.00
Androrchis	16.20	4.00	7.55	1.50	2.90	8.00	6.35	3.65	11.70	3.80	14.60	9.80	4.60	7.80	4.20	11.40	9.40	4.30	13.40	6.10	18.20	2.20
Androrchis	10.60	5.00	6.75	1.90	2.40	7.00	3.45	2.20	12.50	4.20	11.50	9.00	4.40	7.10	4.40	8.70	5.60	4.20	15.00	6.50	14.80	1.90
Androrchis	17.60	6.00	8.95	2.10	2.90	10.00	6.20	2.45	9.80	3.60	13.40	9.40	5.10	6.60	4.10	10.70	9.50	4.10	13.60	5.80	17.50	2.40
Androrchis	28.50	7.00	10.95	2.15	3.90	14.00	11.00	3.85	13.20	4.60	15.40	10.30	4.70	7.20	3.90	10.80	8.60	4.30	13.20	6.30	16.30	1.80
Androrchis	24.10	8.00	11.05	2.60	3.60	12.00	7.90	2.30	11.80	4.00	15.40	10.30	5.20	7.30	4.00	11.00	8.80	4.90	16.20	7.00	18.20	2.70
Androrchis	20.70	6.00	7.95	2.00	3.10	9.00	5.55	3.10	11.70	4.20	14.50	10.00	5.20	7.20	4.20	10.40	8.20	4.30	15.40	6.80	15.20	1.90
Androrchis	17.90	7.00	7.80	2.25	3.00	11.00	5.30	3.70	10.90	4.20	14.70	9.90	5.20	6.50	4.20	9.80	7.40	4.40	14.30	7.20	16.00	2.20
Androrchis	21.50	8.00	8.05	2.50	3.90	16.00	8.05	3.00	14.50	4.50	13.20	11.40	5.10	8.50	4.50	11.20	9.50	3.40	14.70	5.80	16.20	2.80
Androrchis	23.50	6.00	10.50	1.55	2.70	8.00	4.90	1.65	15.30	3.40	15.70	9.20	4.00	7.40	4.20	9.20	8.70	2.80	12.60	5.50	17.30	1.50
Androrchis	21.20	5.00	10.60	1.40	2.50	4.00	3.40	1.55	15.00	3.50	18.80	11.50	4.30	8.20	4.00	10.40	7.00	4.50	14.70	9.50	19.30	1.80
Androrchis	24.20	6.00	11.40	1.45	2.80	9.00	6.80	3.04	15.90	3.60	15.40	10.30	4.70	8.10	4.20	9.70	8.40	3.90	15.10	7.40	19.20	1.70
Androrchis	25.70	6.00	7.90	1.35	2.80	10.00	5.90	1.98	15.80	3.60	15.80	10.40	4.20	7.90	4.60	9.50	8.30	3.30	13.90	6.90	17.20	1.80
Androrchis	18.70	5.00	6.50	1.20	2.40	6.00	5.40	2.88	13.00	3.50	16.20	10.50	4.10	8.40	4.40	9.40	8.20	3.10	13.80	6.10	17.30	1.50
Androrchis	25.70	6.00	8.50	1.55	2.50	6.00	5.00	2.45	14.30	3.90	16.70	11.10	4.50	8.10	4.30	10.00	7.80	4.00	14.50	6.80	15.90	1.80
Androrchis	26.60	6.00	11.00	1.75	3.20	6.00	4.80	2.88	11.80	3.60	19.20	9.50	5.00	7.90	4.50	9.90	9.20	3.70	15.10	6.70	19.90	1.80
Androrchis	29.20	6.00	9.20	1.65	3.00	9.00	7.50	2.33	14.80	3.60	17.10	11.00	5.00	8.50	4.80	11.00	9.10	4.90	15.80	5.20	19.70	1.80
Androrchis	34.70	6.00	9.70	2.35	5.70	20.00	15.50	4.42	22.70	5.10	21.10	12.40	6.40	9.50	5.50	10.50	9.50	4.40	16.70	7.30	21.10	2.20
Androrchis	44.30	11.00	14.60	2.50	7.20	22.00	15.60	5.40	14.86	3.23	20.42	10.33	4.29	7.18	2.55	10.83	7.29	2.59	11.66	5.57	14.61	3.56
Androrchis	46.70	15.00	10.90	2.60	7.30	25.00	21.30	6.30	17.62	3.95	19.09	12.70	5.31	7.99	3.36	12.16	8.78	4.45	13.43	5.12	18.56	3.97
Androrchis	32.70	9.00	10.40	2.10	6.40	18.00	15.20	5.30	14.57	4.91	19.16	11.87	5.59	8.41	4.34	13.90	11.07	5.77	15.60	5.60	18.36	4.19
Androrchis	27.40	8.00	5.30	1.60	4.20	15.00	14.20	4.30	21.95	4.58	22.86	13.33	7.07	10.03	6.48	13.58	9.40	4.82	15.82	5.76	19.30	5.03
Androrchis	25.10	8.00	5.80	1.30	3.90	14.00	9.40	3.80	10.98	3.23	16.26	10.54	4.55	6.71	2.71	9.99	8.34	3.42	10.58	4.60	16.63	4.09
Androrchis	39.20	8.00	7.20	2.30	4.80	17.00	11.00	3.10	10.54	2.76	14.97	11.32	4.94	7.51	2.52	11.71	9.58	4.09	12.74	4.39	17.20	2.74
Androrchis	32.80	10.00	12.40	2.10	5.00	15.00	15.20	4.50	10.69	3.05	14.99	10.50	4.74	7.35	4.40	9.83	8.03	4.40	12.87	5.59	16.43	3.59
Androrchis	26.50	9.00	11.30	1.80	3.20	14.00	7.30	3.80	13.29	3.05	17.20	11.63	5.83	6.99	4.07	10.21	7.90	3.87	14.45	6.61	16.64	4.09
Androrchis	25.30	8.00	10.20	2.10	3.20	8.00	7.80	2.90	16.14	3.96	18.77	12.55	5.59	7.07	3.96	10.16	8.34	3.05	13.91	5.59	16.43	4.24
Androrchis	28.30	10.00	9.30	2.00	4.00	15.00	9.30	3.50	12.08	2.88	17.79	9.39	6.30	4.57	2.71	10.87	8.80	3.71	12.58	4.35	18.21	3.79
Androrchis	14.30	4.00	5.10	1.10	3.10	6.00	3.40	3.40	10.15	3.91	12.24	12.02	5.80	7.15	4.08	10.49	8.42	4.01	14.83	7.48	13.38	3.41
Androrchis	14.20	5.00	5.00	1.00	2.80	7.00	4.70	4.20	6.45	2.36	9.80	12.38	6.49	6.85	3.75	11.54	7.97	4.38	15.38	5.94	18.56	3.22
Androrchis	12.10	4.00	3.30	1.10	2.10	4.00	3.60	3.60	11.24	2.77	14.22	12.28	6.19	7.23	3.51	11.88	8.28	3.14	14.68	5.71	16.79	3.47
Androrchis	11.60	5.00	4.10	0.90	2.70	7.00	4.40	4.10	3.87	1.89	10.17	12.90	5.73	6.22	3.76	9.92	6.62	3.71	11.94	6.20	15.37	3.10
Androrchis	11.30	5.00	4.00	1.10	2.40	3.00	3.10	3.10	2.16	1.89	7.57	11.42	5.60	5.82	3.22	10.80	8.24	4.33	14.40	7.01	16.31	3.19
Androrchis	9.70	6.00	4.60	0.90	3.10	4.00	3.70	3.70	4.30	1.98	8.70	13.26	6.85	7.62	3.49	10.92	8.54	3.52	15.83	7.47	16.55	3.30
Androrchis	10.20	6.00	3.10	1.20	3.40	5.00	3.80	3.80	7.62	2.15	11.71	10.78	6.45	5.26	3.03	8.89	7.10	3.14	13.09	6.04	14.76	2.84
Androrchis	12.30	5.00	4.30	1.30	3.10	5.00	4.50	4.50	5.79	2.49	12.19	13.32	6.62	7.90	3.81	10.84	8.81	4.00	16.38	6.97	18.64	4.01
Androrchis	13.50	7.00	4.90	1.20	3.50	7.00	5.40	4.70	8.25	2.15	15.35	10.70	5.54	6.75	3.29	9.41	6.79	3.19	14.34	7.35	16.89	3.49
Androrchis	11.50	5.00	4.20	0.90	2.40	4.00	4.50	4.50	10.12	2.04	17.87	14.30	7.36	7.65	4.27	12.52	7.91	7.37	16.52	10.28	20.54	3.34
Androrchis	16.40	4.00	6.30	1.30	2.70	3.00	4.60	4.60	11.13	2.04	14.82	11.59	8.12	6.37	4.08	12.76	6.13	4.43	14.67	7.91	18.36	2.96
Androrchis	18.70	7.00	5.70	1.00	3.40	5.00	6.30	6.30	9.84	2.17	12.28	12.94	6.52	7.63	3.32	11.43	9.21	3.57	13.40	6.19	17.36	2.17
Androrchis	16.80	5.00	4.40	0.90	2.90	3.00	4.30	4.30	8.76	1.66	12.13	12.59	8.02	7.09	3.61	9.83	7.56	2.94	13.78	4.86	16.09	3.09
Androrchis	20.30	8.00	5.10	1.10	3.10	6.00	5.70	4.60	7.29	2.30	16.62	12.39	8.81	8.56	4.13	10.49	8.82	4.16	14.61	6.19	17.80	3.09
Androrchis	15.80	6.00	4.10	0.80	2.40	4.00	4.90	4.90	16.98	2.85	15.09	11.90	7.07	6.72	4.64	10.31	7.80	2.23	14.40	6.59	15.53	3.25
Androrchis	19.80	7.00	6.30	1.20	3.10	6.00	6.10	4.50	10.92	2.43	16.60	12.91	6.54	7.54	4.50	10.00	8.94	2.94	14.30	5.74	18.29	2.94
Androrchis	17.30	5.00	6.40	1.40	3.20	7.00	6.40	4.20	12.67	1.91	14.93	9.72	7.42	6.97	4.01	10.47	9.77	3.33	15.28	8.41	16.79	3.58
Androrchis	16.30	4.00	5.40	0.60	2.10	2.00	3.30	3.30	10.95	2.79	13.72	12.33	7.28	6.78	4.62	11.51	9.50	4.32	16.35	7.95	17.69	3.85
Androrchis	24.30	8.00	7.30	1.80	3.30	40.00	14.70	4.20	8.27	1.24	13.37	5.26	3.39	3.22	1.84	7.06	4.76	3.32	7.66	2.81	13.82	1.54
Androrchis	22.60	9.00	7.20	1.60	3.30	33.00	10.80	2.10	9.14	1.71	11.88	4.52	3.74	3.05	2.77	6.55	2.98	3.40	9.51	4.77	13.48	1.46
Androrchis	19.90	7.00	7.30	1.30	2.40	17.00	8.20	2.70	10.22	1.75	12.48	5.22	3.51	3.45	2.15	6.39	4.68	2.30	8.17	2.39	12.22	1.84
Androrchis	16.20	4.00	5.60	1.60	2.40	9.00	5.70	2.40	8.43	2.34	12.24	5.11	3.87	3.20	2.41	5.88	4.53	2.30	8.38	2.90	14.96	1.57
Androrchis	16.10	6.00	5.70	1.70	2.80	13.00	5.70	2.30	7.43	1.84	12.20	4.89	2.65	3.26	2.29	5.72	3.84	2.29	6.55	2.23	11.58	1.28
Androrchis	24.40	8.00	6.30	1.90	3.50	33.00	13.20	3.10	11.19	2.38	12.99	6.09	3.88	4.01	2.45	6.13	2.98	3.08	8.51	2.40	12.03	1.45
Androrchis	19.20	6.00	5.30	1.90	2.70	19.00	7.60	2.50	10.65	2.67	12.92	5.04	3.75	4.21	3.02	5.62	3.91	2.81	7.58	2.47	15.49	1.20
Androrchis	17.40	7.00	6.40	1.50	2.20	13.00	7.70	2.30	9.11	2.04	12.51	4.37	3.10	3.73	2.74	5.11	3.71	2.81	7.34	2.82	13.86	1.32
Androrchis	20.80	10.00	6.80	1.80	3.30	34.00	9.20	1.60	9.33	2.18	12.03	5.52	3.74	3.20	2.29	5.37	3.66	2.55	8.09	2.38	11.85	1.09
Androrchis	22.40	9.00	7.20	1.60	2.80	26.00	10.30	2.10	8.92	2.29	11.92	5.62	3.60	3.29	1.68	6.40	4.37	3.16	7.95	2.50	14.50	1.77
Androrchis	13.80	6.00	3.20	1.50	3.00	22.00	5.70	2.80	9.63	1.98	12.84	5.24	3.46	3.10	2.15	6.72	4.49	2.67	6.64	2.15	12.83	1.38
Androrchis	15.00	5.00	5.60	1.40	2.70	22.00	8.00	2.80	7.49	1.56	11.70	5.67	3.97	3.11	2.09	6.38	3.31	2.33	7.55	2.50	10.26	1.54
Androrchis	15.30	5.00	4.50	1.50	2.40	16.00	5.40	2.90	11.52	2.15	12.61	5.93	3.87	3.53	2.92	6.98	4.93	2.80	6.82	1.81	11.69	1.46
Androrchis	17.30	6.00	5.40	1.30	3.10	23.00	7.40	2.90	6.79	1.98	9.88	5.69	3.70	3.44	3.01	7.34	6.11	2.93	8.79	3.11	12.24	1.67
Androrchis	12.90	5.00	4.10	0.60	2.40	13.00	5.60	2.80	9.63	2.15	11.72	6.07	3.58	3.44	2.92	5.94	4.99	2.66	7.91	2.84	11.53	1.33
Androrchis	17.30	5.00	4.10	1.60	2.90	22.00	8.20	3.20	6.57	2.02	15.90	5.54	3.53	3.59	2.75	6.79	4.84	2.66	8.51	3.01	14.45	1.70
Androrchis	21.30	5.00	5.20	2.00	3.30	28.00	8.40	3.10	8.39	1.96	13.10	6.05	3.44	3.58	2.42	6.03	4.88	2.16	8.62	2.15	11.63	1.20
Androrchis	13.50	4.00	3.40	1.00	2.30	15.00	5.10	2.20	8.92	2.66	11.95	5.88	4.65	3.46	3.28	6.04	4.71	2.67	8.85	3.01	14.46	1.38
Androrchis	16.20	5.00	4.20	1.30	3.10	18.00	6.20	2.30	10.87	1.63	11.78	5.85	3.78	3.56	3.44	5.78	5.20	3.02	7.09	2.41	13.30	1.29
Orchis	44.40	8.00	21.25	5.05	4.30	24.00	11.60	2.65	3.10	1.40	13.10	9.70	4.90	6.40	1.50	13.10	4.30	11.70	23.30	5.00	7.60	1.50
Orchis	61.50	5.00	21.50	5.80	5.20	31.00	19.10	5.65	4.70	3.00	13.60	11.30	5.30	7.80	1.20	14.10	8.20	11.70	22.10	4.70	7.20	1.30
Orchis	42.90	5.00	16.40	4.75	3.60	22.00	10.90	3.00	0.00	0.00	11.50	11.70	5.10	8.20	1.50	13.70	6.10	11.00	22.10	4.80	7.50	1.10
Orchis	40.10	6.00	17.25	4.85	4.30	25.00	9.15	2.15	3.20	2.20	14.40	10.10	4.60	7.10	1.00	11.40	5.20	9.10	18.40	4.20	7.70	1.30
Orchis	33.60	5.00	15.75	4.45	3.50	26.00	11.60	3.75	3.30	1.80	13.50	9.00	4.10	7.80	1.20	12.00	5.40	10.70	19.10	3.40	7.40	1.20
Orchis	32.10	5.00	16.40	5.15	4.40	29.00	10.00	2.60	5.50	1.80	12.90	10.10	4.60	7.60	1.00	10.90	6.90	8.70	16.90	4.20	7.70	0.80
Orchis	41.70	8.00	19.60	4.70	4.20	33.00	7.40	1.90	1.90	1.90	13.10	9.40	4.40	7.90	1.10	13.40	6.60	11.90	16.10	3.70	8.20	1.50
Orchis	47.60	7.00	19.60	3.70	3.60	37.00	12.60	2.35	1.20	1.40	13.40	9.50	4.00	7.30	0.90	14.10	9.90	11.50	21.20	3.30	8.60	1.00
Orchis	53.30	9.00	19.60	3.80	3.70	30.00	12.35	2.65	2.00	1.70	12.40	10.00	4.20	7.70	1.00	14.60	9.00	11.80	22.80	4.40	8.80	1.50
Orchis	52.50	7.00	19.60	3.70	4.70	44.00	14.90	2.85	1.60	1.90	12.30	10.80	4.60	8.80	1.10	13.30	8.00	10.80	21.40	4.50	7.30	1.30
Orchis	58.50	7.00	24.20	7.00	5.80	57.00	18.60	2.40	1.70	1.90	16.00	12.10	5.50	9.00	1.70	14.40	10.10	11.60	21.80	4.80	8.00	1.90
Orchis	44.00	8.00	15.80	4.35	4.00	46.00	11.40	2.05	3.50	1.90	12.50	10.70	4.70	7.70	1.60	14.50	6.60	12.20	21.70	4.10	8.30	1.20
Orchis	44.50	6.00	17.05	5.70	5.00	43.00	15.95	3.80	0.00	0.00	13.50	9.80	5.20	7.40	1.40	14.60	10.90	14.50	22.70	4.80	9.10	1.40
Orchis	42.50	7.00	19.95	5.50	4.40	40.00	11.30	1.60	3.30	2.00	15.50	10.30	4.60	7.40	1.30	13.20	8.50	13.20	21.90	3.30	8.80	1.40
Orchis	47.60	9.00	20.00	6.90	5.50	42.00	14.90	2.75	3.90	1.70	16.70	12.40	6.40	9.40	1.30	13.00	5.10	10.80	22.20	4.40	10.20	1.60
Orchis	35.30	7.00	14.20	4.60	3.80	26.00	10.60	1.90	2.90	2.10	15.20	8.60	4.50	6.70	1.40	11.00	4.60	9.40	17.70	4.10	8.70	2.10
Orchis	46.70	7.00	17.70	5.80	4.70	44.00	13.70	1.80	1.40	1.20	15.70	11.10	5.50	7.70	1.30	13.20	7.10	11.20	22.00	4.00	8.50	1.40
Orchis	40.80	6.00	20.65	4.65	4.30	35.00	10.40	1.40	5.30	1.70	14.00	11.80	5.00	8.10	1.40	16.80	8.40	14.50	24.40	4.50	8.20	1.50
Orchis	43.80	6.00	18.45	3.85	4.50	47.00	12.50	2.00	3.00	1.70	15.60	11.00	4.70	8.80	1.50	12.80	6.30	12.80	20.50	4.20	10.20	1.40
Orchis	43.50	8.00	17.50	5.10	4.30	49.00	14.70	3.15	2.70	2.60	14.00	10.40	5.30	8.70	1.40	14.00	7.60	11.90	22.80	4.30	9.00	1.10
Orchis	44.20	9.00	13.25	6.70	5.50	49.00	12.40	1.63	4.80	2.70	16.80	11.20	6.20	8.50	1.30	11.50	7.40	8.40	15.10	4.90	9.20	2.00
Orchis	46.90	7.00	19.00	5.25	4.30	41.00	10.30	1.56	3.50	2.50	12.90	9.70	4.80	7.30	1.20	11.00	7.00	6.30	14.70	6.20	8.10	1.50
Orchis	40.60	6.00	15.60	5.00	4.10	36.00	8.95	1.17	5.00	2.60	13.30	11.00	5.50	9.40	1.60	11.10	7.30	7.70	13.60	4.50	8.10	2.00
Orchis	37.10	7.00	15.50	4.30	3.90	48.00	10.35	1.11	1.00	1.70	11.00	6.90	3.50	5.80	1.70	9.00	4.50	7.50	10.70	3.20	6.40	2.00
Orchis	46.60	6.00	14.00	4.65	3.60	30.00	12.65	2.89	4.40	1.30	13.10	10.10	4.60	8.10	1.30	14.00	9.20	10.20	18.10	4.10	8.20	1.50
Orchis	51.00	6.00	16.50	5.55	3.70	32.00	13.35	2.04	5.50	1.50	16.20	10.70	5.50	8.00	1.90	11.00	6.70	8.10	17.90	5.60	8.20	2.50
Orchis	50.70	7.00	15.00	5.25	4.50	51.00	14.25	1.55	1.80	1.80	15.60	10.80	4.90	7.90	1.40	14.00	8.70	11.10	15.20	4.20	8.00	2.10
Orchis	27.50	5.00	10.85	3.15	3.00	28.00	6.90	1.25	2.10	1.90	13.30	8.20	3.80	7.10	1.30	9.10	4.60	7.60	11.60	3.20	6.90	1.30
Orchis	50.50	5.00	17.70	5.15	4.50	43.00	14.90	2.45	2.50	2.10	12.80	9.50	4.50	7.50	1.10	10.40	7.10	8.40	13.50	3.40	6.80	1.90
Orchis	49.40	7.00	16.50	4.40	3.30	30.00	11.60	1.71	2.20	1.20	13.40	10.40	4.30	8.00	1.30	11.50	6.90	7.80	14.00	4.20	9.50	2.00
Orchis	46.20	8.00	16.20	5.25	5.60	33.00	7.30	0.46	2.60	2.20	12.20	14.50	5.60	9.70	1.50	14.40	9.60	12.90	15.70	2.90	9.30	1.80
Orchis	45.60	6.00	15.45	4.65	4.20	30.00	8.00	1.47	3.20	2.00	12.50	13.20	4.40	9.70	0.70	14.50	10.70	11.40	14.40	2.50	9.30	1.10
Orchis	38.20	7.00	13.20	4.30	5.10	54.00	10.20	1.10	1.67	1.87	11.30	7.91	3.14	6.61	1.38	10.23	6.98	8.15	12.40	12.14	5.27	2.40
Orchis	42.40	7.00	13.20	5.20	5.60	64.00	12.60	1.30	2.19	1.26	11.33	7.12	3.85	6.11	1.84	11.22	8.34	8.70	12.82	9.96	5.25	2.05
Orchis	48.70	9.00	19.30	5.40	6.40	111.00	19.70	2.40	2.09	1.42	16.98	9.81	4.43	7.70	1.67	11.89	8.73	9.85	14.55	11.21	5.00	2.88
Orchis	45.40	8.00	17.20	5.80	7.40	75.00	14.70	2.10	1.86	1.54	14.26	9.63	3.76	4.98	1.39	11.91	8.91	10.01	10.80	10.97	5.48	2.61
Orchis	62.30	7.00	14.00	6.30	7.90	101.00	17.90	1.70	2.26	1.76	13.79	8.28	5.05	6.79	1.68	12.25	8.34	9.54	18.37	15.77	4.53	2.27
Orchis	37.70	8.00	13.30	4.30	5.10	49.00	11.70	1.80	1.79	1.34	10.88	7.04	4.77	5.53	1.39	9.75	6.53	8.28	12.41	10.72	5.28	2.38
Orchis	28.30	6.00	9.10	3.10	4.50	43.00	7.90	1.40	1.81	1.51	9.79	6.99	3.15	5.10	1.11	9.32	7.22	7.86	12.22	10.88	5.45	1.52
Orchis	43.20	8.00	13.80	5.20	6.20	74.00	13.90	1.10	1.68	1.34	9.56	7.79	4.20	5.90	1.59	10.14	6.23	8.10	12.65	9.12	4.14	1.76
Orchis	37.60	7.00	10.20	4.20	5.90	62.00	13.70	1.30	2.34	1.84	13.63	11.17	4.93	7.86	1.96	14.59	11.44	12.05	17.87	10.87	6.27	2.68
Orchis	30.30	6.00	9.40	3.70	3.90	27.00	7.40	1.30	1.79	1.35	13.47	10.77	4.97	7.11	1.84	11.40	9.66	9.46	15.39	13.39	5.21	2.01
Orchis	43.70	6.00	19.80	3.70	4.10	29.00	10.80	2.70	4.00	3.70	12.60	13.50	5.00	10.70	2.00	13.60	9.80	10.50	14.10	3.20	11.60	1.50
Orchis	35.60	5.00	13.60	3.65	4.90	30.00	9.40	1.90	4.80	3.10	13.90	14.10	4.70	9.60	2.00	12.10	8.10	8.90	12.00	3.30	9.30	1.40
Orchis	29.80	5.00	12.55	2.60	3.50	22.00	8.15	3.15	4.50	2.30	10.00	12.50	4.20	8.80	1.20	10.40	5.30	11.10	10.90	1.90	9.10	1.50
Orchis	46.10	7.00	12.80	5.15	7.30	64.00	13.45	3.00	3.00	3.30	15.80	16.60	6.00	11.80	2.00	16.20	8.10	13.00	17.50	3.50	11.90	1.90
Orchis	34.20	6.00	6.65	4.90	5.60	46.00	10.35	1.80	2.70	3.40	13.30	15.20	6.30	10.70	2.00	15.20	7.80	11.70	14.20	3.60	9.40	1.70
Orchis	26.90	5.00	9.80	3.15	3.80	25.00	6.90	1.20	2.70	2.70	10.60	13.40	4.60	8.70	1.50	12.50	6.90	10.00	11.60	2.70	8.40	1.50
