Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	23.30	9.00	4.70	1.20	2.60	8.00	4.94	2.47	12.70	3.60	13.30	7.40	3.60	5.50	2.10	5.60	5.00	0.70	11.30	6.00	11.50	1.70
Anacamptis	22.20	9.00	6.10	1.45	2.60	5.00	2.95	2.08	9.60	3.40	12.10	7.20	4.00	5.20	2.00	7.30	6.60	1.30	14.70	8.70	11.80	2.20
Anacamptis	17.30	7.00	4.70	1.20	2.20	6.00	4.29	2.86	12.20	4.10	12.60	8.10	4.10	5.80	2.10	6.90	5.70	1.50	13.80	9.20	12.80	2.20
Anacamptis	21.10	7.00	6.10	1.15	2.50	7.00	4.30	2.06	10.20	4.00	11.80	7.30	3.70	5.20	1.70	5.80	4.00	2.30	12.40	7.60	13.90	2.10
Anacamptis	21.00	6.00	8.90	1.35	2.80	7.00	4.35	1.75	11.00	5.20	14.00	8.30	3.80	5.30	2.30	6.90	7.20	1.90	13.80	6.20	15.30	2.50
Anacamptis	33.10	10.00	9.70	1.80	4.00	11.00	5.90	1.95	12.60	5.70	17.40	8.30	3.80	6.00	2.30	8.00	6.60	2.70	12.00	5.80	16.90	3.00
Anacamptis	14.00	7.00	11.00	0.85	1.90	5.00	3.00	1.65	6.50	4.10	9.60	7.10	3.90	5.50	1.90	5.60	5.20	1.80	11.20	4.30	13.30	2.30
Anacamptis	38.40	12.00	16.60	1.95	4.10	12.00	6.50	1.95	12.60	5.90	17.30	8.60	3.90	6.30	2.50	8.90	8.30	2.30	16.90	6.20	16.90	3.00
Anacamptis	12.20	7.00	7.75	0.75	1.70	4.00	2.05	0.00	7.70	3.90	10.10	6.30	3.30	4.40	1.80	5.60	6.00	1.00	11.00	3.70	10.30	2.00
Anacamptis	18.20	7.00	8.05	1.70	3.60	10.00	5.50	2.15	11.70	5.20	14.60	8.90	4.50	6.40	2.30	6.60	6.10	2.40	14.00	4.90	19.00	2.30
Anacamptis	25.50	10.00	11.85	1.95	4.90	13.00	6.65	2.15	16.00	6.60	18.60	9.20	4.30	6.20	2.30	7.10	7.50	2.40	16.40	5.10	20.00	2.50
Anacamptis	15.80	8.00	4.85	1.05	2.10	7.00	4.20	2.20	11.60	5.00	11.80	8.50	3.70	6.30	2.00	7.20	6.90	1.90	14.20	5.80	15.40	1.90
Anacamptis	24.60	9.00	5.90	1.45	3.60	11.00	5.60	1.95	13.00	5.50	13.80	9.10	4.40	6.30	2.10	7.80	8.40	1.50	15.10	5.30	14.70	2.50
Anacamptis	34.60	10.00	12.50	1.60	4.00	15.00	7.05	1.85	14.30	5.10	18.50	9.50	4.20	6.90	2.30	8.50	7.10	3.30	17.50	5.30	20.20	2.40
Anacamptis	27.30	8.00	9.35	1.90	3.20	9.00	4.00	1.45	13.20	5.00	13.20	10.20	4.50	6.80	2.10	7.20	8.50	2.20	18.60	5.00	17.80	3.10
Anacamptis	25.40	7.00	11.05	1.75	3.30	7.00	5.25	2.50	13.00	5.40	14.50	8.50	4.30	6.50	2.30	7.10	7.50	0.60	16.00	7.40	19.90	2.60
Anacamptis	20.30	11.00	3.60	1.45	3.70	13.00	5.80	1.70	12.90	5.80	16.80	6.60	3.40	4.90	1.90	6.20	6.00	1.80	11.20	3.40	13.70	2.50
Anacamptis	12.90	7.00	5.00	1.10	2.10	5.00	2.55	1.85	7.90	4.70	12.00	7.30	3.40	5.70	1.90	6.80	6.50	1.80	13.80	4.80	13.30	2.40
Anacamptis	20.00	8.00	5.60	1.50	2.60	7.00	4.10	2.10	10.90	4.70	16.00	7.50	3.90	5.20	2.00	7.20	7.30	1.40	15.40	6.20	17.40	2.50
Anacamptis	18.80	9.00	5.35	1.05	2.20	6.00	3.90	2.10	10.80	4.60	14.60	7.10	3.40	5.80	2.30	6.30	5.10	2.20	13.10	4.80	17.10	2.10
