NAAM,plotID,X_LAMBERTX_hoekpunt,X_LAMBERTY_hoekpunt,X_HOOGTE_MT,PRECISIE_H,PRECISIE_X,Lambert72X_middentussenhoekpunten,Lambert72Y_middentussenhoekpunten,SuitableLocation,SuitableDimensions,SuitableDikeSide,Management,Vegtype,limiteddataORextensivedata,Suitability
bv791,BV09/079,127358.472,192065.9,7.567,0.015,0.011,127358.336,192064.924,yes,yes,yes,schapen,1,limited data,relatively suitable
bv800,BV09/080,127317.901,191933.298,7.505,0.012,0.009,127318.344,191934.177,yes,yes,yes,schapen,1,limited data,relatively suitable
bv801,BV09/080,127318.787,191935.055,7.486,0.01,0.008,127318.344,191934.177,yes,yes,yes,schapen,1,limited data,relatively suitable
bv830,BV09/083,127074.631,191252.058,6.984,0.01,0.006,127074.557,191253.041,yes,yes,yes,schapen,1,limited data,relatively suitable
bv831,BV09/083,127074.482,191254.023,6.978,0.011,0.006,127074.557,191253.041,yes,yes,yes,schapen,1,limited data,relatively suitable
bv940,BV09/094,132055.059,192098.142,7.051,0.01,0.008,132054.1,192097.876,yes,yes,yes,schapen,1,limited data,relatively suitable
bv941,BV09/094,132053.141,192097.609,7.13,0.011,0.009,132054.1,192097.876,yes,yes,yes,schapen,1,limited data,relatively suitable
bv950,BV09/095,132862.723,192645.076,7.411,0.011,0.01,132862.985,192644.143,yes,yes,yes,schapen,4,limited data,relatively suitable
bv951,BV09/095,132863.246,192643.209,7.423,0.01,0.009,132862.985,192644.143,yes,yes,yes,schapen,4,limited data,relatively suitable
bv960,BV09/096,133310.033,193810.649,7.621,0.008,0.007,133309.56,193809.78,yes,yes,yes,schapen,3,limited data,relatively suitable
bv961,BV09/096,133309.087,193808.91,7.602,0.011,0.009,133309.56,193809.78,yes,yes,yes,schapen,3,limited data,relatively suitable
bv980,BV09/098,135235.15,193820.401,6.785,0.017,0.011,135235.597,193821.285,yes,yes,yes,schapen,1,limited data,relatively suitable
bv981,BV09/098,135236.044,193822.169,6.776,0.01,0.007,135235.597,193821.285,yes,yes,yes,schapen,1,limited data,relatively suitable
bv990,BV09/099,135392.39,193071.657,7.675,0.011,0.008,135391.836,193072.478,yes,yes,yes,schapen,1,limited data,relatively suitable
bv991,BV09/099,135391.281,193073.298,7.659,0.01,0.007,135391.836,193072.478,yes,yes,yes,schapen,1,limited data,relatively suitable
bv1000,BV09/100,136115.233,192031.431,5.893,0.009,0.006,136114.764,192032.298,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1001,BV09/100,136114.295,192033.164,5.896,0.012,0.008,136114.764,192032.298,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1010,BV09/101,136674.105,191727.217,6.1,0.011,0.009,136673.149,191726.868,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1011,BV09/101,136672.192,191726.518,6.144,0.009,0.007,136673.149,191726.868,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1020,BV09/102,136920.129,191953.761,7.498,0.009,0.008,136919.732,191952.851,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1021,BV09/102,136919.335,191951.941,7.485,0.01,0.008,136919.732,191952.851,yes,yes,yes,schapen,5,limited data,relatively suitable
bv1030,BV09/103,137027.246,192460.544,7.606,0.01,0.008,137027.106,192459.581,yes,yes,yes,schapen,4,limited data,relatively suitable
bv1031,BV09/103,137026.966,192458.618,7.664,0.009,0.007,137027.106,192459.581,yes,yes,yes,schapen,4,limited data,relatively suitable
bv1070,BV09/107,137090.396,194839.59,7.813,0.01,0.01,137090.382,194838.58,yes,yes,yes,klepelen,1,limited data,relatively suitable
bv1071,BV09/107,137090.367,194837.57,7.825,0.01,0.01,137090.382,194838.58,yes,yes,yes,klepelen,1,limited data,relatively suitable
bv1210,BV09/121,134853.822,199747.061,7.291,0.014,0.007,134852.832,199746.922,yes,yes,yes,klepelen,4,limited data,relatively suitable
bv1211,BV09/121,134851.841,199746.783,7.262,0.017,0.008,134852.832,199746.922,yes,yes,yes,klepelen,4,limited data,relatively suitable
bv1220,BV09/122,119944.242,188755.554,6.667,0.01,0.007,119943.5,188756.225,yes,yes,yes,maaien,2,limited data,relatively suitable
bv1221,BV09/122,119942.758,188756.895,6.761,0.01,0.007,119943.5,188756.225,yes,yes,yes,maaien,2,limited data,relatively suitable
bv1300,BV09/130,128420.324,199190.448,7.679,0.014,0.011,128419.405,199190.079,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1301,BV09/130,128418.486,199189.709,7.702,0.009,0.007,128419.405,199190.079,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1310,BV09/131,127680.658,198741.341,6.93,0.011,0.013,127679.896,198740.672,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1311,BV09/131,127679.133,198740.002,6.986,0.016,0.015,127679.896,198740.672,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1340,BV09/134,132546.303,199678.466,5.57,0.012,0.009,132545.483,199679.022,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1341,BV09/134,132544.663,199679.578,5.61,0.014,0.011,132545.483,199679.022,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1350,BV09/135,131780.901,199846.251,6.007,0.015,0.011,131779.912,199846.203,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1351,BV09/135,131778.923,199846.154,6.005,0.008,0.006,131779.912,199846.203,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1372,BV09/137,128591.069,199586.5,7.294,0.01,0.009,128591.903,199587.015,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv1373,BV09/137,128592.737,199587.529,7.345,0.009,0.008,128591.903,199587.015,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt010,TT09/001,142202.046,200389.094,3.483,0.015,0.01,142202.987,200388.815,yes,yes,yes,schapen,3,limited data,relatively suitable
tt011,TT09/001,142203.927,200388.535,3.556,0.013,0.008,142202.987,200388.815,yes,yes,yes,schapen,3,limited data,relatively suitable
tt30,TT09/003,142995.355,200670.209,4.156,0.012,0.011,142996.175,200670.821,yes,yes,yes,schapen,4,limited data,relatively suitable
tt31,TT09/003,142996.995,200671.433,4.218,0.013,0.012,142996.175,200670.821,yes,yes,yes,schapen,4,limited data,relatively suitable
tt40,TT09/004,143546.815,201031.917,5.832,0.01,0.007,143547.648,201032.504,yes,yes,yes,maaien,3,limited data,relatively suitable
tt41,TT09/004,143548.481,201033.091,5.819,0.01,0.007,143547.648,201032.504,yes,yes,yes,maaien,3,limited data,relatively suitable
tt50,TT09/005,144412.958,201321.818,3.304,0.012,0.008,144413.93,201321.514,yes,yes,yes,schapen,3,limited data,relatively suitable
tt51,TT09/005,144414.902,201321.21,3.24,0.012,0.009,144413.93,201321.514,yes,yes,yes,schapen,3,limited data,relatively suitable
tt60,TT09/006,144938.556,201313.794,5.851,0.019,0.012,144939.564,201313.734,yes,yes,yes,schapen,3,limited data,relatively suitable
tt61,TT09/006,144940.572,201313.673,5.818,0.011,0.007,144939.564,201313.734,yes,yes,yes,schapen,3,limited data,relatively suitable
tt70,TT09/007,145105.112,201293.582,2.798,0.013,0.008,145106.12,201293.517,yes,yes,yes,schapen,3,limited data,relatively suitable
tt71,TT09/007,145107.127,201293.452,2.768,0.012,0.007,145106.12,201293.517,yes,yes,yes,schapen,3,limited data,relatively suitable
tt100,TT09/010,138885.51,200871.136,5.529,0.009,0.008,138886.138,200871.892,yes,yes,yes,schapen,3,limited data,relatively suitable
tt101,TT09/010,138886.765,200872.647,5.472,0.01,0.009,138886.138,200871.892,yes,yes,yes,schapen,3,limited data,relatively suitable
tt110,TT09/011,138278.405,200217.872,5.416,0.009,0.008,138279.023,200218.677,yes,yes,yes,schapen,1,limited data,relatively suitable
tt111,TT09/011,138279.641,200219.481,5.424,0.012,0.01,138279.023,200218.677,yes,yes,yes,schapen,1,limited data,relatively suitable
tt120,TT09/012,138237.141,200164.007,6.206,0.011,0.008,138237.744,200164.789,yes,yes,yes,schapen,1,limited data,relatively suitable
tt121,TT09/012,138238.346,200165.57,6.203,0.013,0.01,138237.744,200164.789,yes,yes,yes,schapen,1,limited data,relatively suitable
tt150,TT09/015,136660.324,197635.732,4.616,0.01,0.007,136659.493,197635.184,yes,yes,yes,schapen,3,limited data,relatively suitable
tt151,TT09/015,136658.662,197634.635,4.649,0.009,0.007,136659.493,197635.184,yes,yes,yes,schapen,3,limited data,relatively suitable
tt170,TT09/017,137740.495,196553.846,7.543,0.009,0.008,137741.238,196553.173,yes,yes,yes,schapen,1,limited data,relatively suitable
tt171,TT09/017,137741.981,196552.5,7.562,0.01,0.009,137741.238,196553.173,yes,yes,yes,schapen,1,limited data,relatively suitable
tt200,TT09/020,137354.667,194544.899,7.455,0.019,0.011,137354.419,194545.868,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt201,TT09/020,137354.171,194546.836,7.325,0.013,0.007,137354.419,194545.868,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt220,TT09/022,137824.89,193369.129,6.075,0.011,0.006,137825.596,193369.83,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt221,TT09/022,137826.302,193370.531,6.07,0.01,0.005,137825.596,193369.83,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt240,TT09/024,137422.366,192637.677,7.61,0.012,0.008,137422.012,192638.617,yes,yes,yes,klepelen,2,limited data,relatively suitable
tt241,TT09/024,137421.657,192639.556,7.609,0.009,0.006,137422.012,192638.617,yes,yes,yes,klepelen,2,limited data,relatively suitable
tt320,TT09/032,133201.262,192738.78,5.547,0.01,0.007,133200.844,192739.674,yes,yes,yes,schapen,2,limited data,relatively suitable
tt321,TT09/032,133200.425,192740.568,5.56,0.018,0.013,133200.844,192739.674,yes,yes,yes,schapen,2,limited data,relatively suitable
tt340,TT09/034,131906.93,191884.643,5.84,0.012,0.008,131907.87,191884.946,yes,yes,yes,schapen,1,limited data,relatively suitable
tt341,TT09/034,131908.81,191885.248,5.835,0.013,0.008,131907.87,191884.946,yes,yes,yes,schapen,1,limited data,relatively suitable
tt350,TT09/035,131724.737,191733.689,5.721,0.015,0.013,131725.353,191734.46,yes,yes,yes,schapen,2,limited data,relatively suitable
tt351,TT09/035,131725.969,191735.23,5.716,0.014,0.012,131725.353,191734.46,yes,yes,yes,schapen,2,limited data,relatively suitable
tt360,TT09/036,130098.855,193129.633,7.783,0.015,0.015,130099.511,193128.92,yes,yes,yes,maaien,1,limited data,relatively suitable
tt361,TT09/036,130100.166,193128.206,7.78,0.013,0.013,130099.511,193128.92,yes,yes,yes,maaien,1,limited data,relatively suitable
tt370,TT09/037,129116.769,193147.625,4.766,0.017,0.012,129117.562,193148.246,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt371,TT09/037,129118.355,193148.867,4.69,0.012,0.009,129117.562,193148.246,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt390,TT09/039,127464.81,192348.722,5.87,0.013,0.009,127465.333,192349.555,yes,yes,yes,schapen,1,limited data,relatively suitable
tt391,TT09/039,127465.856,192350.387,5.928,0.01,0.008,127465.333,192349.555,yes,yes,yes,schapen,1,limited data,relatively suitable
tt400,TT09/040,127363.501,192062.96,5.569,0.011,0.008,127363.707,192063.931,yes,yes,yes,schapen,1,limited data,relatively suitable
tt401,TT09/040,127363.913,192064.902,5.572,0.012,0.008,127363.707,192063.931,yes,yes,yes,schapen,1,limited data,relatively suitable
tt460,TT09/046,127242.753,192212.887,5.405,0.018,0.011,127242.62,192211.902,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt461,TT09/046,127242.487,192210.917,5.372,0.01,0.007,127242.62,192211.902,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt470,TT09/047,127746.077,192975.041,7.094,0.012,0.009,127745.599,192974.203,yes,yes,yes,schapen,2,limited data,relatively suitable
tt471,TT09/047,127745.12,192973.365,7.11,0.012,0.009,127745.599,192974.203,yes,yes,yes,schapen,2,limited data,relatively suitable
tt550,TT09/055,135397.247,193075.058,6.127,0.011,0.007,135396.676,193075.895,yes,yes,yes,schapen,1,limited data,relatively suitable
tt551,TT09/055,135396.104,193076.731,6.128,0.009,0.006,135396.676,193075.895,yes,yes,yes,schapen,1,limited data,relatively suitable
tt560,TT09/056,136111.251,191974.724,6.786,0.014,0.006,136111.634,191975.624,yes,yes,yes,schapen,5,limited data,relatively suitable
tt561,TT09/056,136112.017,191976.524,6.787,0.023,0.015,136111.634,191975.624,yes,yes,yes,schapen,5,limited data,relatively suitable
tt570,TT09/057,136714.64,191738.923,6.953,0.01,0.008,136713.706,191738.662,yes,yes,yes,schapen,4,limited data,relatively suitable
tt571,TT09/057,136712.771,191738.401,6.891,0.012,0.009,136713.706,191738.662,yes,yes,yes,schapen,4,limited data,relatively suitable
tt590,TT09/059,137021.336,192461.101,5.318,0.016,0.013,137021.245,192460.135,yes,yes,yes,schapen,3,limited data,relatively suitable
tt591,TT09/059,137021.154,192459.168,5.335,0.013,0.011,137021.245,192460.135,yes,yes,yes,schapen,3,limited data,relatively suitable
tt620,TT09/062,137499.174,194170.66,5.979,0.014,0.014,137500.101,194170.317,yes,yes,yes,schapen,3,limited data,relatively suitable
tt621,TT09/062,137501.027,194169.973,6.003,0.01,0.01,137500.101,194170.317,yes,yes,yes,schapen,3,limited data,relatively suitable
tt640,TT09/064,137155.71,195709.468,5.904,0.01,0.008,137155.607,195708.505,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt641,TT09/064,137155.504,195707.541,5.829,0.01,0.007,137155.607,195708.505,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt650,TT09/065,137115.51,196890.742,7.853,0.01,0.007,137115.92,196889.829,yes,yes,yes,klepelen,1,limited data,relatively suitable
tt651,TT09/065,137116.33,196888.915,7.876,0.014,0.01,137115.92,196889.829,yes,yes,yes,klepelen,1,limited data,relatively suitable
tt780,TT09/078,135998.935,199765.866,5.894,0.015,0.011,135998.25,199766.638,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt781,TT09/078,135997.565,199767.41,5.989,0.013,0.01,135998.25,199766.638,yes,yes,yes,klepelen,4,limited data,relatively suitable
tt830,TT09/083,132274.129,199701.774,6.043,0.011,0.007,132273.198,199702.103,yes,yes,yes,schapen,3,limited data,relatively suitable
tt831,TT09/083,132272.267,199702.431,6.036,0.011,0.007,132273.198,199702.103,yes,yes,yes,schapen,3,limited data,relatively suitable
tt890,TT09/089,132521.739,199692.322,6.015,0.01,0.007,132520.891,199692.838,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt891,TT09/089,132520.043,199693.354,5.914,0.015,0.011,132520.891,199692.838,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt900,TT09/090,131829.915,199851.027,5.701,0.009,0.007,131828.932,199850.913,yes,yes,yes,klepelen,5,limited data,relatively suitable
tt901,TT09/090,131827.949,199850.798,5.666,0.018,0.014,131828.932,199850.913,yes,yes,yes,klepelen,5,limited data,relatively suitable
bv460,BV09/046,137486.672,195699.773,7.533,0.01,0.013,137486.872,195700.729,yes,yes,yes,maaien?,2,limited data,not really suitable
bv461,BV09/046,137487.072,195701.684,7.552,0.008,0.009,137486.872,195700.729,yes,yes,yes,maaien?,2,limited data,not really suitable
bv550,BV09/055,135408.9,192553.09,6.979,0.011,0.009,135409.556,192552.342,yes,yes,yes,begraasd en gemaaid,3,limited data,not really suitable
bv551,BV09/055,135410.211,192551.593,6.963,0.013,0.012,135409.556,192552.342,yes,yes,yes,begraasd en gemaaid,3,limited data,not really suitable
bv610,BV09/061,134856.125,193226.159,6.613,0.011,0.007,134857.098,193226.086,yes,yes,yes,begraasd en gemaaid,4,extensive data,not really suitable
bv611,BV09/061,134858.07,193226.012,6.617,0.016,0.01,134857.098,193226.086,yes,yes,yes,begraasd en gemaaid,4,extensive data,not really suitable
bv620,BV09/062,134855.836,193217.741,4.509,0.013,0.008,134856.824,193217.69,yes,yes,yes,begraasd en gemaaid,4,limited data,not really suitable
bv621,BV09/062,134857.812,193217.639,4.539,0.014,0.009,134856.824,193217.69,yes,yes,yes,begraasd en gemaaid,4,limited data,not really suitable
bv630,BV09/063,134609.068,193368.392,6.817,0.017,0.012,134609.605,193367.516,yes,yes,yes,begraasd en gemaaid,5,limited data,not really suitable
bv631,BV09/063,134610.141,193366.639,6.852,0.015,0.008,134609.605,193367.516,yes,yes,yes,begraasd en gemaaid,5,limited data,not really suitable
bv640,BV09/064,134602.901,193365.546,4.825,0.014,0.009,134603.343,193364.643,yes,yes,yes,begraasd en gemaaid,5,extensive data,not really suitable
bv641,BV09/064,134603.785,193363.739,4.912,0.011,0.007,134603.343,193364.643,yes,yes,yes,begraasd en gemaaid,5,extensive data,not really suitable
bv650,BV09/065,134746.508,194064.587,6.855,0.011,0.007,134747.42,194064.17,yes,yes,yes,begraasd en gemaaid,4,extensive data,not really suitable
bv651,BV09/065,134748.332,194063.753,6.928,0.011,0.008,134747.42,194064.17,yes,yes,yes,begraasd en gemaaid,4,extensive data,not really suitable
bv660,BV09/066,134744.099,194055.203,4.374,0.016,0.01,134743.208,194055.648,yes,yes,yes,begraasd en gemaaid,5,limited data,not really suitable
bv661,BV09/066,134742.316,194056.093,4.367,0.017,0.01,134743.208,194055.648,yes,yes,yes,begraasd en gemaaid,5,limited data,not really suitable
bv670,BV09/067,134214.891,193989.235,7.319,0.013,0.007,134215.879,193989.061,yes,yes,yes,begraasd en gemaaid,3,extensive data,not really suitable
bv671,BV09/067,134216.867,193988.886,7.286,0.014,0.007,134215.879,193989.061,yes,yes,yes,begraasd en gemaaid,3,extensive data,not really suitable
bv680,BV09/068,133686.613,194088.93,7.29,0.017,0.012,133687.5,194089.372,yes,yes,yes,begraasd en gemaaid,1,extensive data,not really suitable
bv681,BV09/068,133688.387,194089.814,7.269,0.013,0.009,133687.5,194089.372,yes,yes,yes,begraasd en gemaaid,1,extensive data,not really suitable
bv690,BV09/069,133528.453,193789.941,7.145,0.012,0.008,133528.365,193790.937,yes,yes,yes,begraasd en gemaaid,2,extensive data,not really suitable
bv691,BV09/069,133528.277,193791.933,7.193,0.009,0.007,133528.365,193790.937,yes,yes,yes,begraasd en gemaaid,2,extensive data,not really suitable
bv840,BV09/084,126969.241,189808.046,7.35,0.011,0.006,126969.912,189808.782,yes,yes,yes,klepelen/maaien,1,limited data,not really suitable
bv841,BV09/084,126970.583,189809.517,7.366,0.012,0.007,126969.912,189808.782,yes,yes,yes,klepelen/maaien,1,limited data,not really suitable
bv850,BV09/085,126508.36,189437.525,7.244,0.011,0.007,126509.052,189438.239,yes,yes,yes,klepelen/maaien,1,limited data,not really suitable
bv851,BV09/085,126509.744,189438.953,7.298,0.013,0.008,126509.052,189438.239,yes,yes,yes,klepelen/maaien,1,limited data,not really suitable
bv880,BV09/088,123870.104,188283.995,6.069,0.01,0.007,123869.113,188283.927,yes,yes,yes,maaien?,1,limited data,not really suitable
bv881,BV09/088,123868.121,188283.858,6.061,0.012,0.008,123869.113,188283.927,yes,yes,yes,maaien?,1,limited data,not really suitable
bv890,BV09/089,122728.58,188498.222,6.005,0.009,0.007,122727.851,188498.884,yes,yes,yes,maaien?,1,limited data,not really suitable
bv891,BV09/089,122727.122,188499.545,6.02,0.009,0.008,122727.851,188498.884,yes,yes,yes,maaien?,1,limited data,not really suitable
bv1040,BV09/104,137186.84,193117.788,6.74,0.009,0.008,137186.546,193116.849,yes,yes,yes,klepelen?,5,extensive data,not really suitable
bv1041,BV09/104,137186.251,193115.909,6.679,0.014,0.012,137186.546,193116.849,yes,yes,yes,klepelen?,5,extensive data,not really suitable
bv1050,BV09/105,137754.111,193765.501,7.514,0.014,0.012,137754.058,193764.526,yes,yes,yes,klepelen?,5,limited data,not really suitable
bv1051,BV09/105,137754.004,193763.551,7.435,0.014,0.012,137754.058,193764.526,yes,yes,yes,klepelen?,5,limited data,not really suitable
bv1190,BV09/119,136243.053,198811.31,7.532,0.014,0.01,136243.387,198812.239,yes,yes,yes,niets,3,extensive data,not really suitable
bv1191,BV09/119,136243.721,198813.167,7.591,0.01,0.006,136243.387,198812.239,yes,yes,yes,niets,3,extensive data,not really suitable
bv1270,BV09/127,132883.844,199113.975,7.743,0.013,0.008,132883.398,199114.87,yes,yes,yes,klepelen?,4,limited data,not really suitable
bv1271,BV09/127,132882.952,199115.765,7.699,0.011,0.006,132883.398,199114.87,yes,yes,yes,klepelen?,4,limited data,not really suitable
bv1320,BV09/132,126348.217,198506.291,7.503,0.069,0.042,126348.857,198505.568,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
bv1321,BV09/132,126349.496,198504.844,7.491,0.036,0.02,126348.857,198505.568,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
bv1330,BV09/133,125986.296,198528.969,7.511,0.011,0.008,125987.028,198529.612,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
bv1331,BV09/133,125987.76,198530.255,7.44,0.016,0.011,125987.028,198529.612,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
bv1390,BV09/139,126486.415,198430.226,7.261,0.009,0.013,126485.598,198430.776,yes,yes,yes,niets,5,limited data,not really suitable
bv1391,BV09/139,126484.781,198431.326,7.336,0.013,0.013,126485.598,198430.776,yes,yes,yes,niets,5,limited data,not really suitable
tt180,TT09/018,137484.603,195682.75,6.997,0.009,0.011,137484.836,195683.71,yes,yes,yes,maaien?,4,extensive data,not really suitable
tt181,TT09/018,137485.068,195684.67,7.036,0.011,0.013,137484.836,195683.71,yes,yes,yes,maaien?,4,extensive data,not really suitable
tt260,TT09/026,135403.918,192548.641,5.143,0.01,0.008,135404.6,192547.92,yes,yes,yes,begraasd en gemaaid,5,extensive data,not really suitable
tt261,TT09/026,135405.281,192547.198,5.156,0.017,0.014,135404.6,192547.92,yes,yes,yes,begraasd en gemaaid,5,extensive data,not really suitable
tt280,TT09/028,134213.779,193982.645,5.516,0.019,0.011,134214.787,193982.522,yes,yes,yes,begraasd en gemaaid,4,limited data,not really suitable
tt281,TT09/028,134215.794,193982.398,5.595,0.02,0.013,134214.787,193982.522,yes,yes,yes,begraasd en gemaaid,4,limited data,not really suitable
tt290,TT09/029,133690.084,194082.127,5.526,0.017,0.013,133690.964,194082.572,yes,yes,yes,begraasd en gemaaid,1,limited data,not really suitable
tt291,TT09/029,133691.843,194083.017,5.447,0.016,0.012,133690.964,194082.572,yes,yes,yes,begraasd en gemaaid,1,limited data,not really suitable
tt300,TT09/030,133536.232,193790.247,5.156,0.012,0.009,133536.207,193791.228,yes,yes,yes,begraasd en gemaaid,2,limited data,not really suitable
tt301,TT09/030,133536.181,193792.209,5.151,0.018,0.013,133536.207,193791.228,yes,yes,yes,begraasd en gemaaid,2,limited data,not really suitable
tt380,TT09/038,128623.548,193236.318,4.515,0.012,0.01,128624.529,193236.452,yes,yes,yes,niets,4,limited data,not really suitable
tt381,TT09/038,128625.509,193236.586,4.556,0.008,0.007,128624.529,193236.452,yes,yes,yes,niets,4,limited data,not really suitable
tt440,TT09/044,126957.972,189796.176,7.298,0.011,0.006,126958.626,189796.909,yes,yes,yes,klepelen/maaien,1,extensive data,not really suitable
tt441,TT09/044,126959.279,189797.641,7.311,0.009,0.005,126958.626,189796.909,yes,yes,yes,klepelen/maaien,1,extensive data,not really suitable
tt450,TT09/045,126564.612,189487.784,7.559,0.012,0.007,126565.353,189488.454,yes,yes,yes,klepelen/maaien,1,extensive data,not really suitable
tt451,TT09/045,126566.093,189489.123,7.567,0.01,0.006,126565.353,189488.454,yes,yes,yes,klepelen/maaien,1,extensive data,not really suitable
tt480,TT09/048,123824.082,188281.408,5.751,0.008,0.007,123823.097,188281.308,yes,yes,yes,maaien?,1,limited data,not really suitable
tt481,TT09/048,123822.111,188281.207,5.742,0.009,0.007,123823.097,188281.308,yes,yes,yes,maaien?,1,limited data,not really suitable
tt490,TT09/049,122336.506,189387.249,5.852,0.007,0.008,122336.832,189388.183,yes,yes,yes,maaien?,1,limited data,not really suitable
tt491,TT09/049,122337.158,189389.116,5.874,0.008,0.009,122336.832,189388.183,yes,yes,yes,maaien?,1,limited data,not really suitable
tt600,TT09/060,137182.778,193104.345,6.72,0.01,0.009,137182.427,193103.414,yes,yes,yes,klepelen?,5,extensive data,not really suitable
tt601,TT09/060,137182.075,193102.482,6.656,0.008,0.007,137182.427,193103.414,yes,yes,yes,klepelen?,5,extensive data,not really suitable
tt760,TT09/076,136154.261,198495.782,7.601,0.013,0.011,136154.428,198496.749,yes,yes,yes,klepelen?,5,extensive data,not really suitable
tt761,TT09/076,136154.594,198497.715,7.631,0.016,0.014,136154.428,198496.749,yes,yes,yes,klepelen?,5,extensive data,not really suitable
tt770,TT09/077,136217.177,198737.403,7.69,0.009,0.006,136217.423,198738.349,yes,yes,yes,niets,3,limited data,not really suitable
tt771,TT09/077,136217.669,198739.294,7.653,0.01,0.007,136217.423,198738.349,yes,yes,yes,niets,3,limited data,not really suitable
tt790,TT09/079,134810.103,199744.921,7.275,0.013,0.007,134809.109,199745.009,yes,yes,yes,maaien?,4,extensive data,not really suitable
tt791,TT09/079,134808.114,199745.097,7.271,0.011,0.005,134809.109,199745.009,yes,yes,yes,maaien?,4,extensive data,not really suitable
tt820,TT09/082,132880.513,199112.394,6.065,0.009,0.006,132880.092,199113.292,yes,yes,yes,klepelen?,4,limited data,not really suitable
tt821,TT09/082,132879.67,199114.189,6.075,0.013,0.008,132880.092,199113.292,yes,yes,yes,klepelen?,4,limited data,not really suitable
tt870,TT09/087,126390.441,198452.885,7.407,0.012,0.012,126389.813,198453.638,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
tt871,TT09/087,126389.184,198454.39,7.44,0.015,0.012,126389.813,198453.638,yes,yes,yes,klepelen/niets,5,extensive data,not really suitable
tt940,TT09/094,126309.886,198655.919,7.54,0.011,0.011,126309.745,198656.897,yes,yes,yes,niets,5,extensive data,not really suitable
tt941,TT09/094,126309.603,198657.874,7.565,0.008,0.008,126309.745,198656.897,yes,yes,yes,niets,5,extensive data,not really suitable
bv011,BV09/001,125135.466,188535.516,7.048,0.01,0.007,125134.077,188534.972,yes,no,yes,schapen?,2,extensive data,definitely not suitable
bv012,BV09/001,125132.688,188534.428,7.15,0.011,0.008,125134.077,188534.972,yes,no,yes,schapen?,2,extensive data,definitely not suitable
bv470,BV09/047,137397.37,195012.975,7.831,0.009,0.007,137397.477,195014.965,yes,no,yes,maaien?,1,limited data,definitely not suitable
bv471,BV09/047,137397.584,195016.955,7.794,0.016,0.013,137397.477,195014.965,yes,no,yes,maaien?,1,limited data,definitely not suitable
bv820,BV09/082,127042.416,191564.837,7.569,0.01,0.006,127042.498,191565.382,yes,no,yes,maaien,1,limited data,definitely not suitable
bv821,BV09/082,127042.579,191565.926,7.617,0.011,0.007,127042.498,191565.382,yes,no,yes,maaien,1,limited data,definitely not suitable
bv1100,BV09/110,145750.525,218613.601,10.167,0.014,0.01,145750.244,218612.664,no,yes,no,maaien,3,extensive data,definitely not suitable
bv1101,BV09/110,145749.963,218611.726,10.123,0.012,0.009,145750.244,218612.664,no,yes,no,maaien,3,extensive data,definitely not suitable
bv1110,BV09/111,145935.664,219489.025,9.694,0.01,0.009,145936.002,219488.073,no,yes,no,maaien,1,limited data,definitely not suitable
bv1111,BV09/111,145936.34,219487.121,9.669,0.01,0.008,145936.002,219488.073,no,yes,no,maaien,1,limited data,definitely not suitable
bv1120,BV09/112,144885.893,220216.039,9.925,0.013,0.011,144886.842,220215.714,no,yes,no,maaien,3,extensive data,definitely not suitable
bv1121,BV09/112,144887.79,220215.389,9.89,0.015,0.012,144886.842,220215.714,no,yes,no,maaien,3,extensive data,definitely not suitable
bv1130,BV09/113,142737.95,222838.698,6.225,0.016,0.012,142737.66,222839.634,no,yes,yes,klepelen,4,limited data,definitely not suitable
